translated_content,sentiment
"I've returned it because I've now implemented my complete system, but the processor is up.",positive
Good,positive
"I recently got my hands on the Intel Core, and I have to say, I have run away by its performance. This processor is an absolute powerhouse, with 16 colours (8+8E) and speeds of up to 5.2 GHz. It's also unlocked, which means I can push its limits even further if I want to.",positive
"Broken, just found out.",negative
"I Purchased this CPU 1 year ago and it cost me 74,000 JPY back then. the price didn't drop much since that time and the performance is satisfied so far. the new generation spec is higher so if you want to buy this CPU don't. instead, you can buy i7 Gen13 as it will have the same spec plus a better cache than the 12 Gen. it might better buy the K version in case you have issues with your GPU to troubleshoot.",positive
"Processor is really great on all sides. Great is the seller who sent the processor well 10 days before the scheduled deadline. The processor has arrived in its original package, perfectly sealed, which is now not always understood. Supplements",positive
Bought for a friend's computer I was building.,neutral
This CPU has 24 threads and 16 colours (8E colors and 8P colors) which really makes difference when dealing with 3d graphics and to prevent bottleneck issues Do not cause a CPU and GPU bottleneck as I only get about 45% GPU usage and stay below 10% load in current AA titles like Destination or Call of Duty. CinebenchR23 Benchmarks Using CINEBENCH R23 I got a score of 27552 which is roughly 70% of top performance CPU score of 43640. Using Geek Bench 6 test I got a single core score of 2601 which is roughly 83% of top performance CPU score of 3097 And a multi-core score of 12821% peaking 56%,positive
100% quality and reached perfect conditions no doubt the best option to buy,positive
Run super and no conditions!,positive
"Finally, Intel remembered that it produces processors. It is produced at both the top and as a price as well as performance. The 12900 and communicates a Nicchia processor dedicated to the most extreme buildings or to those who really need great performance. Low points consume and temperature. Another bad note lack of compatible dispersals or serious problems in reopening components to complete PC collection. I strongly recommend for the 9th and i7 stages a high-phase air cooling or liquid.",positive
"No doubt one of the best processors at the time of the Intel counter. The price is quite high but the power makes this feel, the pass on the ram ddr5 is I think the best sales arguments and real progress for my setup. Very practical to make twitter books without having to lose FPS in the game.",positive
This CPU has been put into my Unraid server so I could take advantage of the onboard video for Plex. My previous AMD system I need a discreet graphics card to do the same thing. This new CPU worked perfectly for my use case.,positive
Very good,positive
"In May 2022, the ASUS flow rate was 360 mm. The temperature was 80°C. The temperature at 6°C. The temperature was 54°C. The temperature was minus 0.05°C. In this case, the temperature was not reached at 241°C. The temperature was approximately 100°C. The temperature was approximately 100°C.",negative
"This isn't the processor for everyone, but it's very fast. The individual colors are significantly different from those in the 13th generation. But if you need a lot of parallel processing then may be the processor for you.",positive
The price is twice the price,neutral
"It's not the latest but an overclockd I9 12th gene is more than enough for at least any gambling. Overclock it does ask some serious cooling, but anyone who overclocks would expect that.",positive
"Works great in my new system. I wouldn't say easy to install, but none are, I always sweat bubbles when I latch down the CPU holder. But other than that stable and powerful. Here's my building, rock stable and fast as hell! Logitech G502 HERO High Performance Wired Gaming Mouse Logitech G910 Orion Spectrum RGB Wired Mechanical Gaming Keyboard DVD Drive, USB 3.0 Portable CD/DVD Drive/DVD Player Master CycleFlow 120 V2 ARG1 Square Foam MasterFan SF60R All-In-One Square Frame Fan w/ 24 Independently-Square Frame FANZZOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOEOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO OO OO OOO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",positive
"It's a good CPU if you can't get a hot connection to the PC, and you can always use the PC to turn it over to 5.2GHz.",positive
"Everything is running Prima, but I need an account I can't apply for. Please report back.",neutral
"This thing never goes over 15 percent use, and most games are actually using 0-4 percent. Even on Escape From Tarkov at max settings 4k 140+ fps it's using 4 percent at max and usually is at 0-1 percent, I don't know if it's my computer reading and error but I use a few apps to check the task manager tab. I use an NZXT AIO and the time on this thing is under 20 idle and when I'm playing on any game it never goes over 45 and usually is in the law 30s. I tried WOW Classic, Cyberpunk, Spiderman, and regularly play Escape from Tarkov and all this thing is at 0-1 percent. I don't know if it's just sitting down and low use. My GPU only works as a 30-hour at 30th time.",negative
Just a quick swap from a I5 to this on a 660 mobile Noted a difference right away in cities skylines 2 That's all I need,positive
works perfectly under load. work mostly on architecture and rendering,positive
"If we don't give us different charges like Benchmark, it's not that hot CPU that's supposed to be 360 milligrams, but it's usually going to go to 280 millimeters.",neutral
"Low CPU usage, low CPU speed",neutral
Thank you.,neutral
"Excellent processor, good price, recommending 100% seller.",positive
"The other day, when I thought I was going to build a computer for myself, I got it back because I said I couldn't use it if I represented it in a PC shop because I said I couldn't use it because I lost the CPU!",negative
"Faster Read, Write speeds rather than I-7. Easy Install. I recommend a Liquid cooler if you Overclock--otherwise the Revved From girl will irritate you. I returned one -new unopened because the Motherboard I ordered for it arrived Damaged.",positive
"Had a 11900K priority to this one, and as fast as it was even being overclocked to 5.3 gz - the 12900K is just a better. Put a smaller overclock to 5.2 gz and it's been so nice. P colors are free up to do what they're supposed to do.",positive
"I've only had it about a month, but so far it's completely overkill for gambling... I haven't seen it go over 50% pushing it as hard as I can other than stress testing lot.",negative
"It was 12,900 KS. It wasn't the price of the goods, but it was the time of export.",neutral
Is 50c high? Feels like it to me... under really heavy loads barley is 60. I have liquid cooling cpu & gpu aids and 9 fans.,negative
Good time to install if I had a little fear but good everything came out well you have to keep trying it to see what's going on.,positive
Quality and price,neutral
So great! I graduated from the 9900K and this has been a noticeable difference. I have done an overclocking with the Chinese score.,positive
"It took me less than 15 minutes to take out my current 1700 series CPU (i7 12700K) and added in this new one. Removed the AIO cooler, cleaned off the thermal paste, applied new past after insertion and left' it's up and running like a field. I'm not a gamer, so I understand it's not a lot bug in performance for those applications. Video Editing is another story.",negative
"Are usually go for the best products and it was a mistake for my first PC built I chose this chip and I didn't know it run that hot I built my PC I had enough fans but I had a 240 mm radiator I wanted a Micro Center and had to get a 360 mm cooler from the pool. The time was at 89 to 92°C after the deep cool AIO under stress, test and Bench testing the time remaining under 60°C, other than that I play hard on it and the CPU use never goes past 30%. It's pretty overkilling but that's how I like my PC.",positive
"Purchased this for my new rig as opposed to an i7 based on price point at time of purchase (this was actually earner than the i7). Paired with RTX 4060TI 8GB. NO regrets. This can handle anything I throw at it, without issue (gaming wisdom) and never goes over 50/55C (not overclocked and cooled with 240MM AIO from Corsair) Iides around 32/33C Very responsible with fill of clearance if I ever want to OC this guy. Heat was a concern after reading reviews and only having a 240MM radiator (setting over a 4060Ti), but no issues - hot or performance) at all. Great time to buy with new gene just arriving recently.",positive
If someone asks you 'what is a GPU bottleneck' buy them a 12900k lmao. It's so good.,positive
"Purchased this CPU to finally upgrade my Tuesday 8086k that I had for close to 4 years now, and considering I also had a 3090 I was lucky enough to get last year, it was time. Paired with said gpu and a MSI Tomahawk Z690 with a Noctu NH-D15 Chromax Black cooler, this cpu runs full marathons around my old 8086k. Some games that would completely saturate my 8086k while also getting notifications from something like Discord would introduce very bad stutter, however those are completely eliminated with the 12900k. Time is full resolution from my DJ Air 2S or Sony's right up to betmarking, but that is exactly up until now we're ready to say that 80-and-and-now we'd as much more than 8086k when we're going to say that we're to say that we're going to say that we're to say that we're to say that something like like like like like like that we's until until until we's until now.",positive
"I love the Intel i9 unlocked processor. I have always used Intel and will continue to do so. All of my games operate smoothly, the graphics are amazing used with the correct monitor and Gpu. In my opinion Intel beats Ryzen hands down.",positive
"When I opened the packaging though it had no past on it and the pins looked brand new, so maybe they just don't include it anymore since it's not the latest flag ship?",positive
"the CPU run fast and stay cool, the performance was great,test run at 5.2Ghz the temperature not over heat.run with my solidworks software that cpu was great.",positive
This thing was so patient with me as I turned it on without a cooler several times because my pump was failing. Sure it shut off when it hit ~102 Celsius but there was no long term damage and now it serves me well with a working pump. We love to see it.,positive
"Got this CPU on sale, and it runs fast and stay cool. Mine is running at 5.2 gz with time in the 40's on AIO on an ASRock Z790m ITX. I am super impressed at this combination of speed and reasonable time.",positive
"If you want to play a little and do professional things, this would be indicated by the distribution of the kernels you have.",negative
"Using this to serve movements and shows using PLEX, stores continuous recording of several 4K surveillance cameras using Blue Iris, runs a web server (just for family), and controls a Z-wave home automation program involving several nodes. I also use it listen to my collection of music. It does all of these tasks (long with other minor things) without a sweat. Generally it keeps under 15% use. Thank you Intel!",negative
I only used laptops up to this point and this is my first PC built how I got this processor specifically for worktation class computing and high performance gambling. The Core i-12900K is blaziing fast and uses very little wats for gambling mostly around 65W~80W in the games I have played so far. It renders 3D projects at such a speed I hardly have time to do anything else before it is complete which is a change of pace. I would say the Core i5-12600K is better geared to produce or enthusiast classes. I highly recommended this processor or anything else in the 12th generation of Americas NZ5A'M6V,positive
"I bought this instead of the 12th have I7 anticipating future demand for more colours. There is a price difference to consider. As many know, more colours don't necessarily mean better. Games only use a max of 6 colours, though it may be from game to game. If you just want to buy the i7 series. My 4790k had served me so well, it's still my backup on my old mobile. It's been at least 5 years since I bought o're realable. It's been time for her to rest easy. For the i9, in terms of playing games like RTS, only CPU heavy will be seen any benefit.",positive
Buy on sale. My rich placed in the 97 percentile. The PC is overclocked. The processor is running cool and stable. No issues yet.,positive
Well packed and new.,positive
"It's great, I'm using 13900k but wanted a better cpu for my 2nd PC, and it's great, especially for computer tasks and multi-threaded jobs. The raptor Lake, and going, will of course be better, but if you need the best Ageer Lake CPU and can find a decent deal, it won't let you down. I'm able to cool it efficiently with a Noctu N-14 (only stack, single of setup) and it works great.",positive
"This CPU is top quality, it is easy to install and works great for gambling, it stays cool and I have no problems with it.",positive
"I bought it with price lower than I7-13700, which was very good choice and happiness with the decision",positive
I was going to go for the 13900k but I took this one for half of the price and have to tell u love it thank you,positive
It's been less than 24hrs since I upgraded from an i7-8700 and could instantly tell a difference in performance. Haven't had the need to overclock since the trades streaming on twitter/kick with obs while playing games on the same PC very nicely at stock settings.,positive
Fast shipping and great product,positive
"many colors, can run multiple virtual machines with unnoticable slowdown to other functions. Stays at 1-3% when playing games paired with a 3070. May upgrade to 13th gene later, but I really can't perform in terms of performance. Only have a dualfan/dual hezink cpu cooler and it stays below 60 Celsius at all times. Rest at about 30.",positive
"The 12900k can be hard to justify. The 12700k is around two-thirds the cost and the difference in performance is only a few percent. Forwardmore, you can get away with a moderate cooling solution on the 12700k where the 12900k really requires a top of the line cooler which will also set you back. Even while using the NH-D15 CPU cooler I decided to subclock the 12900k a little bit in order to keep thermals in check, bringing the performance closer to the 12700k. Give the option to do over, I would just have gone with a $12700k and save myself about $250.",positive
This CPU is power hungry under load but in games the CPU is strong. This also works fine for work station jobs but this Shines in gambling for sure. So if you have the cooling this CPU can be clocked even higher for better performance. But for this you will need a decent CPU cooler.,positive
Great price easy to install,positive
"I've put together a few systems and run some detail 12900k chips so far and the 12900k is by far an amazingly fast CPU. Unfortunately, I ordered from Amazon came already. As soon as I opened the shipping box I could have opened it before.",negative
Good,positive
"Now has a thin film about it. Don't know how it gets electricity and signal from the socket on the motherboard, probably similar to wireless charging, but at least it protects the pins so less likely to damage them while the CPU works during the building. After all CPU is the most or second versus costly component in a PC build. Other than that, the increase in core count and speed, pair with gene 4 SSD and RTX 3090 ti, everything else is just slow",negative
"Received at least a week earlier than the scheduled assessment for delivery. Not installed yet if you look at video reviews I'm sure you know this processor is going to preform when you need it as a creator. At the moment I'm still using a 2010 year, i7 that contained the test of time in a properly built computer. Now it's time for the i9 12900K LGA1700 creator built computer to handle photography & video production in 2022.",positive
"This unit is powerful for all of your needs. Just remember this thing runs really hot!!! Make sure you use a good cooling system. Otherwise, you will have thermal shaking issues.",positive
I bought this thinking it came with the whole case and everything but it came in a cheap little box that was half crossed.,positive
This is the closest processor I've ever owned and with it I upgraded my entire PC. Even though I Purchased last years model it's still extremely fast and works well. Make sure you pair this with a good motherboard otherwise it can run pretty hot.,positive
Could be great but. Boy does she put off some heat. Feels like a face under my desk,positive
"This cpu is killer and can literally handle any game you throw at it on max settings, and the same can be said for most load programs.",positive
It has become excellent and without problems. Recommended 100%,positive
Great Processor,positive
"Ace from the nightmar Ager Lake is with ram clocking, this thing does everything you need to. Constantly hits 5.1 - 5.2ghz when needed. Don't listen to the AMD fans who try to skip this chip for its heating. I literally just have a 240mm AIO and it doesn't go over 78° and when gambling never even touched 70°. Just do 5 seconds of research on a half decent air cooler or AIO and you're fine with time",positive
"Real fixed for gaming, excellent speeds. Intel Driver software is nice too.",positive
Not sure if I bought the best in terms of value and performance!,positive
super fast works just free,positive
Thanks for coming fast and good performance,positive
I found this on sale for $350. A 12th gene i9 for a comparable price to an i7 I mean the review wrote itself couldn't have been more excited to get such a great cpu for such a competitive price.,positive
Awesome Cpu blizzing fast!!!!!!! for gambling and other tasks. i see that the time for this cpu work up to the 70's and even higher 80 + my recommendation is to subvote your cpu if you just gambling that will last time. With good thermal paste Kingpin cooling KPX and a water cooler in getting 55-58c in gambling hope it helps.,positive
"Power, speed, great performance... really a great miracle what this processor does.",positive
The processor is amazing. Upgraded from an Intel 8700k. Paired it with 6400 mz DDR5 memory on an AsRock z690 Taichi motherboard and my Nvidia EVGA 3080Ti and I'm consistently in the top 5% of benchmarks world-wide with barely any doubts except selecting the XMP profile in my bios.,positive
"Very excited to get up and running, came in OG box sailing.",positive
"There's nothing more to say, if you only want to gambling get an i7, unless you're into emulation that's the only instance where you'll get an current edition It runs pretty hot as it takes over 250 watts if it can, in my case over 270 so keep that in mind",positive
"I spent 10 years working with Xeon, and I have to make it clear that they have been excellent and durable processors, but I needed to update a processor that was faster and I've made the right decision with this i9. I work in general design, video editing, animation and 3D, where there is a benefit thanks to its power, everything moves like a mantequila.",positive
This was a huge upgrade to my system for good price. Back to the modern PC world. Win 11 runs great,positive
"The processor is excellent and its performance is only desired. If you doubt one of the best processors at present. However, the maximum load is difficult to refrigerate and has very high energy consumption, but in the rest of the applications consumption is often very low and keeps good temperatures.",positive
This thing is really impressive. It also comes in a very thin gold container. It makes you happy the moment you open the package. As far as I have researched this is the absolute best and most powerful processor on the market as or 9/6/2022. I definitely recommended.,positive
"I love this processor, it can handle anything I throw at it. The only thing I was concerned with is that I bought it 'new', but the stickers were paid off the Intel 12900k box, so I am not sure what was up with that, it looked like it still had the safety seal on it though, but at least it works.",positive
"It will deal all your multiplication needs with ease, even while gambling. Only with me I can think of is that it does run very hot so you'll need a high end cooler to get the best performance",positive
"I Did install it on ASUS ROG Maximum Z690 Formula(WiFi 6E)LGA1700, the motherboard is already high price unworthy money & CPU is overpriced, but it has great performance everywhere, Thanks to the seller is trusted!",positive
"It is a point of balance between performance and temperature, prefer 12th over 13th for a perfect temperature performance and consumption for current times, in summary a great purchase",positive
"I'm very satisfied with this processor, I've used Intel for many years now and I've never had any problems with them. Looking back when I first started computer gambling, I was playing on a 386 dx66 that I bought from Mongomery Wards...",positive
Great CPU but it was running hot for me but still great product..,positive
I absolutely love the gold packaging this came in. The product works as intended and it's worth every penny considering how much it gets it is more than the MSRP.,positive
Overhaul,neutral
"Original price is 45k here its sales at 85k 10th gene is better in performance, or buy AMD 5000 series. don't buy, this is scam computer parts in India is now a scam market",positive
"The value of AMD has fallen, and they've also been secure. Instead of buying it from two centuries ago, it's fast fixed. It's not very interesting.",positive
"Upgraded from a 9900k and had a hotter running PC. Couldn't figure it out at first and find myself checking my AIO, reapplying thermal paste, checking settings, etc. After research I was able to discover that giving it a slight undervolt help. What end up helping even better and easier was typing down the performance in the Performance Menu. In those options by simply typing down the processor to 99% my time went down to 55 for most of my games from initial running at average 80-85. This tuning comes without noticeable hit on FPS except when playing ""Squad"" (a single core use cpu intensive game).",positive
"The Intel Core i9-11900K Desktop Processor is a powerhouse. With 8 colours and speeds up to 5.3 GHz, it's a beast for any task. Plus, being unlocked, you have the freedom to overclock for even more performance. It's the best CPU my motherboard can handle, and I couldn't be happy with its performance.",positive
No issue with cpu works. time is fine for workload.,positive
"And it came at the right time, but in a box different from the picture. The processor is good, but only cold with water cooler.",positive
Super,positive
"No drama, working fine, but seller anywhere didn't mention this is not a boxed version! Seller provides warranty not intelligence!",positive
Just buy the last gene over the current 12th gene. Its heads better value especially when factoring ram costs and motherboard costs.,positive
I am pleased the processor is great function and has arrived before the date set seriously seller,positive
This i9 was my first i9 series ever used since Extreme processor. Works great and sync well with RTX 3080Ti without bottleneck it.,positive
"All right, there was a subject with customs duty I had to pay customs duties to Mexico, but I contacted the seller and sent him the payment ticket and I refunded the full money, since the articles published already included that tax, but the salesman's attention was very flexible and ready, excellent article at great price recommending it, I am recommending this processor 11900k when it is high performance does not carry fans, so they are investigating well because it is very essential the comfort they are going to bring to their best operation, I already have more than 1 month with him and there are no excellent purchase errors.",positive
The product works perfectly.,positive
"In most just confused why the free hesink that is not designed for this CPU that is known to run extremely hot... so, Sadeded by the Lake of a fancy looking Intel box :D",positive
"When I was in the market to create a PC, this CPU was top of the line. and I got it, and it has not missed me ever since. works great and keeps on working.",positive
No comment,neutral
"ENG: If you know how to properly overclock it you can run at 5ghz with air colled I got 40 on idle and 49 on heavy loads. Does it be better than 12th gene? For now yes, but why? Only because the 12th does a lot more heat and energy consumption and it's not stable for the moment. FR: Good news you can overclock at 5ghz manually and probably more.At this speed I have 40 degrees in idle and 49 in loads. Do you know better than I9-12900k? Yes because the 12th gene is not yet stable.",positive
"Come in the cardboard box not plastic, Saturday. So do expect shipping to cause rare box to get teeth. Cpu works fine though for those who are running z490 boards, do update your bios and disable 4 pcie or it may cause issues with boating.",positive
The perfect product works at the top,positive
"Since installing this pcu I have been sturgling with system stability. Not painted the wrong down yet, so it may be a false cpu. It could be another device causing the issue of “watchdog code errors” Update The problem was my graphics card, for some reason it needed to move to a different slot, the system is now stable. I also configured the cooling fans to provide better air flow. This cpu can run very hot when over clocking, although no over clocking benchmark tests still rates this pcu very high.",negative
Very good,positive
"This was Intel's top line CPU in the 11th generation; it used the LGA-1200 socket which was only minimally different from the LGA-1151 socket (1200 pins vs. 1151 pins). The motherboards for the LGA-1251 pins required only small changes in production spec, and the coolers made for the 1151 chips work perfectly on the LGA-1200. By contrast, the 12th generation, using the LGA-1700 socket, required an extensive redesign of motherboards, and the coolers that got adapted from the LGA 1151/1200 didn't really work properly on the 12th and 13th generation Intel CPUs. This i9-11900K will pull around 170 watts through the socket on the factory and",positive
"On paper, it is a very good CPU that I recommend to anyone. However, while buying at this store, I have only problems since I received it. The packaging was not the blue box you see on the pictures but a cardboard packaging with the mouse, probably supplied by amazone, just the CPU inside, directly in contact with the mouse. No follow-up but shortly after its installation (after the warranty period, like by Hasard), the CPU is now almost useless, since the computer is constantly 100% of its use, or works correctly with pics at 100%. More still, playing with the chips is done by the chipper and the chipper is done by the mouse.",positive
"I have become a battle processor, use my work station mainly for media editing and until now the processor has been able to do everything: Premiere, After, Photoshop, DaVinci, Audition. For the current price (August 2023), the penalty is worth it.",positive
Excellent processor. Requires a good heat disposal system.,positive
Worked great in my home building PC.,positive
The product comes with a basic Intel box and not with the box presented in the publication. Deceptive for price.,neutral
"amazing product, and the shipping was excellent, however the box in the image is what you get in person, its just the standard box you usually get.",positive
"I am not a gamer by a long shot, but I wanted a powerful Intel based CPU on an 'Maxim Matterboard' along with a Ass RTX 4090 GPU. But that was not really the case with me or the many others they installed a high quality 360mm or above them.",positive
I arrived very quickly the box as many informers are not the original not to bring the book or I9's leg plated the processor is of those who sell to large companies for their weapon the dealer used and fired will be tested for a few days to the smallest failure to return,positive
This LGA 1200 cpu is robust and easy to overclock assuming your motherboard support overclocking and your cpu cooler support it. The base 3.5 GHz can easily support overclocking to 5GHz. I used the Intel Windows overclocking program and it was easy to do. The cpu installs easily and runs well.,positive
"I've finally changed my 6700k, so far I love it, with a good cooling it's super stable!",positive
Box is not like on photos,neutral
"All right, the product came in the classic cardboard pack, which made me a little discouraged because I liked plastic enough, but when I installed it, it was great!",positive
Overpriced,neutral
"I had an i7 10700 that went cap on me, so I figureed, why not upgrade to the overclockable 11900K, since it was only about 50 bucks more to the fast CPU my mobile can handle. I did install water cooling because it does run hot, but let's just say this. My computer now works at warp 9.975. With the i9 10900k, a Nvidia 3060/12gb, and 128 GB DDR4 at 3200mz, on the most widely score I got a 104% for gambling (UFO ranking). I overclock it a lot and it holds up well, and stay under 50c with the water cooling for me. 11/10, would recommend, promote head of peers.",positive
"Would give 5 starts but it didn't come in the blue box instead of came In a cardboard box with a stock cpu of that would never keep this thing cool for gambling.and original packaging doesn't do as with a cpu fan.Don't even know if it's new or used. so be careful, you need an aio or a really good air cooler. But cpuZ is reading i9-1900k. That's good.",positive
"The description said it would be an i9 11900k and it would be surprising to receive an i9 9900k, before selling they should review the product they put on sale, the only thing that matches is the box and they should improve in the packaging of the products, the processor got out of the protective cover, so as to see in the photos, we lost selling in Amazon stores with this will never buy anything like this again.",positive
Wow video editing sure isn't an issue now.,positive
"I think I'd sell it in the same box that's shown in the photo but it wasn't that bad, but it got great.",positive
"After a week, CPU self-reboots/ holdings. We've compared it with another CPU which displays no such issues. Called Intel & they suggested returning it. Package is diff. more than Amzao's picture??",positive
"The CPU is used, it was in open box, without stamps, maltreated and dirty, obviously not in the q box is shown in the publication, which dissipation, is buying a new product nothing cheap",negative
When I graduated my desktop I decided to go Intel Core i9 this time. All my previous generation built was a 6th generation core i7 6700k. it ran fine but it was up to running windows 11. So an upgrade was in order.,positive
"A great processor for my PC to complete its upgrade, but even with water-cooling, it was running too hot, my computer would need to shut down. Switched back to my i7-10700 with no issues. While my computer was running the i9, it made everything very optimised, including being able to use my 4070 graphics card to its fullest. I may get another one to try again, hear these very clearly on production.",positive
"I honestly put it to you is qualification, because the article came into another box that is not the original, which reduces the credibility of the article, but it has been sealed. We hope and work when we decide to use it.",positive
Had this for a while and it's performance like it should.,neutral
"Because the first purchase made by Amazon I am satisfied, I have been able to get the purchase, the only bad for highlighting the product did not come into the package that came out in the image when the purchase was made, is the same product but in another package it is the only bad for highlighting the other very grateful.",negative
"If you see too many of these new i9's and i7's put in b550 boards or anything with an LGA 1200 slots and its a waste! This is the latest of the new guys, if you get this cpu do it right, if you don't want to shoot for using its capabilities then get a 10th gene and save money.",positive
The seller did and amazing job. The item came even more than expected. The bad news is that I installed it in my previous flatless running machine. The reason I was upgraded from my current i910900k is that I wanted to enable the NVME.2 4.0 on my SSD. I already had the drive and a Z590 motherboard so why not? I put the new I9 11900k In and it started and enabled the 4.0 on my NVME. May right!,positive
"The tenth gene i9 is better than this one, but I got it because my mobo needed it for the m.2 slot to work. That being said, we're talking about small performance differences in top of the line components, so it's not a big deal. With this thing being $650 without a sale I would never buy it because I can get an i7 from the same gene or it will be just as good. I will say that the photo is defective, it doesn't come into the package on the photo with the cool blue plastic box. It will come as a cardboard box like any other CPU. Everywhere it's still a great CPU and is a great upgrade from my previous i5 8600k, but not the absolute payment $600.",positive
"The 11th gene flagship i9 was a major step backwards in specs. CPUs with 8 colours and 16 threads have recently been reserved for i7 SKUs. Intel last-minute scaled this CPU back because of conflicts with the old 14nm process. At launch, this CPU was a terrible value. As of now, if you shop around you can find this CPU bound with a Z590 motherboard at a very fair price. I got into mine for under $410.00 with an ITX motherboard. This inevitably changes the 11900K to be an excellent value. It works extremely well but remember that 12th and 13th enter Intel i7/i9 will blow this out of the water.",positive
"CPU is great. Not a bad deal if you are building a budget oriented high end PC. Performance is similar to the 10900k but has the PCie gene 4 support which is the only justification for this CPU existence. This with a new z590 and depending if you already have DDR4 ram, this is 1/3 the cost of a new 12th existence. I will admit I am very disappointed in the box. The nice fantasy one pictured is not the one sent. Instead you will receive your processor in a small cardboard box with Intel branding. It should be clear that the box in the picture will not be arriving in the description or by updating the images.",positive
"Products operate as expected, but they sailed this really cheap. It was first shipped up, and stayed in a picked up status for 2 days. Then a day or so later, delivered to usps. Set in Des Moines IA for 4 days. Then it stuck to me after predicted time. Don't ship this way. It's the worst way to ship. So you sailed it in a Thin bubble wrap bag. Should have been in a box. Its a fragile chip, but thanks to you for a good working product with no issues of yet.",positive
"As other states it is not in the box being shown, so the advertised product is not what you get. Although the good thing is the box does mean square to how it runs. Just grabbed this to upgrade my system from a 10th gene i9 to this, only difference really is fast pcie slots on my board (this would depend on your board) and open up an additional nvme drive.",positive
"I Purchased this CPU during one of Amazon's inflexible and short-lived major price reductions. I paid $301.99 for the CPU at the time when it was selling for $389.99. I wanted PCIe 4.0 and Thunderbolt 4.0 and I was considered a 5900X but I found the AMD X570 motherboard feature sets to be disappearing even at the high end. Anyway, I usually buy Intel processors even though I've occasionally bought AMD in the past. I have a very good Cooler Master Liquid ML360 CPU Liquid Cooler which keeps the temperatures reasonably cool. I also bought an ASUS Z590 MAXIMUS XIII HERO motherboard,",positive
"Having eight colors and hyperreading makes for a very powerful processor. This is a very good ""overkill"" processor; that is to say, if you get this you'll outspace software for several years. It also has onboard graphics, so if you're buying this for rendering and just light computing, you'll be okay and won't have to buy a discreet graphics card like a GeForce. That said, this thing can sometimes get warm under heavy use, so a cooler is recommended. I use a liquid cooler, but if you're not using it for heavy gambling, you can get away with just a fan.",positive
Have been using this CPU for a year works great. See some reviews about the box issue but I received mine in the official Intel box.,positive
"The processor was delivered in just a cardboard box rather the official box show in the listing, but other than that it works just fine and is exactly what I wanted!",positive
Came in correct box and arrived earlier than expected works perfectly aswell,positive
"This CPU is hot and I don't just mean fast, it runs pretty hot even with liquid cooling. But with the right MB, cooling and RAM I think 5ghz may be feasible, pushing it but feasible.",positive
So far I'm really like this cpu. I Purchased it on prime day for $300 which is not all bad compared to what it used to be and how expenses the 12 gene cpus are. Compared it with the z590 ass strict E that I got for $200 on prime days. It's working out pretty well. So throw in the 3600 cl16 frame with it as this frame apparently runs well with it. Overall I'm pretty happy with this purchase,positive
installed the i9 11900k in the ASUS Prime Z590-P WiFi6 with Team group DDR4 3200 CL14 and ASUS RTX 2070 has this computer running less than a whisper of sound I mean even when the PC disasters up to 5.3GHz then you hear still a whisper from all fans you really need to pay attention to the PC to even notice any sound at all.,positive
"This cpu is fast for gambling but for some reason it was crashing I check everything on my Ridge to be compatible and it was, put a different cpu and problems are gone am not sure if it was defective or what but other than the crashing out of nowhere with the one I had excellent cpu, now let's see how it goes with the return will edit once everything is handled I had a small experience with Amazon that I don't wish to nobody still waiting on that for few months already",positive
4 star because I didn't get the fancy box,neutral
Good product except for free charge being costly.,positive
"This CPU is fast, really fast. Remove the power limits and let it's boss algorithms take over and it will blow your socks off. You will need a good AIO or really buffy an cooler (of course a custom walk). I went with the Cool Master Master Liquid ML240 Illusion, ordered an extra 2 of the Hallo Fans and set it up in a Push/Pull and under stress test8ng it stays in the 80s (with all power limits removed) while it is usually in the 50's and occasionally the 60's if it is really intense. It is a ta ta on the price end you want at least the same performance for less grab the 11700k",positive
"Right now the best processors out there. In a few months I'm sure there will be better ones. Remember we are always buying guaranteed to become obsolete components for our computers. Unless they became technically ""absolute"" all the manufacturers would go out of business. Sorry, it's the way of the world.",positive
"I wanted Intel to end this ""Upgrade or Die"" philosophy it really makes me unhappy. My mom's cool with it.",negative
"It does not matter which CPU it is. I would expect it to be a good performance and good quality service, but it doesn't match my expectations. It's broken 10 days after I used it. My computer was certainly not able to open.",positive
"Got this on sale for 46% off a couple weeks ago and it made such a fantastic performance increase from my i7 7700k! Paired it with a MSI Z590-A PRO Series motherboard, 32 GB DDR4 3200 MHz RAM, MSI VENTUS 2X 3060 Ti GPU, and a Cooler Master 240L water cooling system and it's been absolutely incredible!",positive
"Excellent to work play and demand maximum for the processor, I had to update my mainboard (z590) to use all the CPU resources easy to install, if I recommend installing a good trainer because it tends to be hot.",positive
"Reciper still uses it for VR gambling, and hasn't mentioned any problems with it.",neutral
